#{"t_start": 1765351638.8422217, "env_id": "None"}
r,l,t
-19.0,1161,1.744471
-20.0,861,2.123393
-21.0,970,2.551342
-21.0,826,2.920296
-20.0,1188,3.475869
-21.0,764,3.809974
-20.0,968,4.245464
-20.0,983,4.672898
-20.0,892,5.097021
-20.0,919,5.496204
-20.0,931,7.587295
-19.0,1069,9.767113
-19.0,1156,12.24865
-21.0,764,13.80711
-21.0,884,15.622823
-19.0,1135,17.920783
-20.0,962,19.948646
-21.0,764,21.528985
-21.0,826,23.234241
-21.0,853,24.990812
-20.0,964,27.057312
-21.0,852,29.64655
-20.0,1010,31.784544
-21.0,764,33.424741
-21.0,840,35.249905
-20.0,871,37.139114
-21.0,764,38.770081
-21.0,912,40.763265
-21.0,792,42.560479
-20.0,838,44.508535
-21.0,811,46.367566
-19.0,999,48.552065
-21.0,882,50.561571
-20.0,842,52.451706
-21.0,933,54.516101
-21.0,764,56.334699
-21.0,991,58.736157
-21.0,824,60.634099
-20.0,980,62.972882
-20.0,870,65.067105
-21.0,792,66.995568
-21.0,783,68.805966
-20.0,902,70.891462
-21.0,812,72.803636
-20.0,934,75.047031
-21.0,825,76.982178
-20.0,1015,79.368273
-21.0,824,81.281274
-21.0,792,83.127888
-21.0,764,84.907353
-21.0,942,87.069822
-21.0,824,89.040168
-21.0,824,91.042044
-21.0,913,93.190995
-21.0,854,95.182045
-21.0,916,97.409322
-21.0,914,99.651884
-21.0,898,101.79553
-21.0,912,103.971391
-21.0,824,105.960629
-20.0,1082,108.619814
-21.0,884,110.753667
-21.0,825,112.724242
-21.0,946,115.055241
-21.0,852,117.198349
-21.0,884,119.385629
-21.0,854,121.516205
-20.0,844,123.610443
-19.0,989,126.136866
-20.0,986,128.630416
-20.0,904,130.857878
-21.0,942,133.182295
-19.0,999,135.72244
-21.0,938,138.036026
-20.0,1024,140.60674
-20.0,1065,143.289447
-21.0,820,145.399292
-20.0,844,147.57145
-20.0,924,149.909552
-19.0,945,152.324899
-18.0,1270,155.6541
-19.0,1015,158.300624
-21.0,821,160.412212
-21.0,913,162.791261
-20.0,919,165.232307
-21.0,764,167.466466
-20.0,914,170.129191
-21.0,820,172.423903
-20.0,842,174.821102
-21.0,995,177.687037
-20.0,870,180.089293
-19.0,1149,183.267756
-21.0,864,185.7659
-21.0,810,188.092077
-21.0,914,190.639472
-20.0,991,193.449864
-20.0,1047,196.460226
-20.0,1024,199.374875
-20.0,1105,202.543088
-20.0,1107,205.716268
-19.0,1121,209.042949
-19.0,1260,212.726501
-19.0,1080,215.917827
-20.0,1156,219.343141
-18.0,1138,222.656001
-20.0,991,225.673055
-20.0,1035,228.601099
-21.0,944,231.292233
-18.0,1248,234.84487
-21.0,1094,237.877853
-20.0,1086,240.936494
-20.0,1020,243.890773
-19.0,1128,247.091128
-18.0,1284,250.777752
-20.0,959,253.570784
-17.0,1594,258.107088
-20.0,1040,261.194897
-21.0,866,263.629099
-20.0,1040,266.531865
-20.0,1189,269.829479
-20.0,1012,272.699537
-17.0,1526,277.011803
-19.0,1238,280.405582
-20.0,1029,283.313324
-19.0,1268,286.909823
-20.0,1107,290.08383
-20.0,955,292.841963
-21.0,967,295.528289
-18.0,1627,300.116829
-19.0,1266,303.597249
-19.0,1473,307.758111
-19.0,1219,311.186451
-20.0,958,313.962733
-19.0,1266,318.328625
-15.0,2041,323.944806
-16.0,1553,328.24297
-17.0,1578,332.912734
-19.0,1397,336.850483
-17.0,1519,341.084779
-17.0,1937,347.550795
-21.0,1052,350.54469
-18.0,1976,356.063386
-19.0,1552,360.494072
-19.0,1669,365.179409
-20.0,1194,368.591748
-20.0,878,371.049727
-16.0,1759,376.715988
-14.0,2271,383.197816
-18.0,1388,387.149247
-16.0,1721,391.936189
-14.0,2098,397.777853
-16.0,1692,402.414009
-15.0,2441,410.098882
-15.0,2069,416.001907
-18.0,1607,420.811617
-20.0,1405,424.676902
-18.0,1848,429.892118
-17.0,1932,436.317831
-17.0,2235,442.512943
-20.0,1622,447.059615
-20.0,1614,451.59213
-18.0,1684,456.242899
-19.0,1691,460.926245
-15.0,1844,466.842189
-21.0,1652,471.425361
-18.0,1627,475.938111
-21.0,1009,478.763521
-18.0,1893,484.043832
-11.0,2453,492.061654
-19.0,1836,497.16649
-16.0,1926,502.523014
-17.0,1897,507.849422
-17.0,2082,513.785545
-16.0,2110,520.68301
-15.0,2289,527.15431
-18.0,1912,532.891546
-15.0,2558,540.409555
-17.0,2245,546.878456
-11.0,2900,556.578146
-17.0,2065,562.604072
-18.0,1755,567.781839
-18.0,2024,573.715853
-19.0,1831,579.123022
-15.0,2243,586.47691
-17.0,1803,591.609146
-21.0,1507,595.806808
-17.0,2203,602.250893
-17.0,1932,607.758853
-17.0,2268,615.044587
-16.0,2044,620.681201
-15.0,2343,627.118439
-17.0,2300,633.475096
-19.0,1607,638.831692
